method,topology,tour_length,runtime,seed
Heuristic,0,5.911038258478959,0.06836843490600586,12345
SA,0,23.895019413598995,0.16340374946594238,12345
GeneticAlgorithm,0,10.279483262030443,2.982907772064209,12345
Heuristic,1,6.798196142502645,0.10124993324279785,12346
SA,1,26.73906753571267,0.17389869689941406,12346
GeneticAlgorithm,1,10.962974712895672,2.9750051498413086,12346
Heuristic,2,5.6550348876366865,0.13552546501159668,12347
SA,2,24.400265243064126,0.12488293647766113,12347
GeneticAlgorithm,2,10.11691792863112,2.992149829864502,12347
Heuristic,3,5.510810362669562,0.10077881813049316,12348
SA,3,22.43773111571325,0.1243133544921875,12348
GeneticAlgorithm,3,9.527826215834565,3.4384093284606934,12348
Heuristic,4,6.253384054663908,0.1294386386871338,12349
SA,4,24.29001107115107,0.14626693725585938,12349
GeneticAlgorithm,4,12.195431101003518,3.134721517562866,12349
Heuristic,5,5.7990068089546485,0.1035623550415039,12350
SA,5,26.46741068305156,0.16383934020996094,12350
GeneticAlgorithm,5,12.4280090286936,3.0806877613067627,12350
Heuristic,6,6.938938486284624,0.0655825138092041,12351
SA,6,23.434943046656578,0.12158393859863281,12351
GeneticAlgorithm,6,13.251003847320499,3.239245891571045,12351
Heuristic,7,7.044675874400333,0.14260005950927734,12352
SA,7,26.218984273767422,0.1786482334136963,12352
GeneticAlgorithm,7,11.420114453032689,3.096113920211792,12352
Heuristic,8,7.489350512553812,0.166273832321167,12353
SA,8,27.23363030506108,0.13077783584594727,12353
GeneticAlgorithm,8,9.702969740345146,3.1972856521606445,12353
Heuristic,9,7.052806786886634,0.13740944862365723,12354
SA,9,24.843899098882208,0.12665510177612305,12354
GeneticAlgorithm,9,11.078928190033372,3.0489091873168945,12354
Heuristic,10,5.932142423765478,0.10555124282836914,12355
SA,10,27.814419592632845,0.16874098777770996,12355
GeneticAlgorithm,10,11.656925195232338,3.427039623260498,12355
Heuristic,11,6.084955773925843,0.11760520935058594,12356
SA,11,23.920521095298756,0.15496325492858887,12356
GeneticAlgorithm,11,12.499490194649933,3.578286647796631,12356
Heuristic,12,6.967516151030822,0.12368512153625488,12357
SA,12,26.17978653444774,0.21344923973083496,12357
GeneticAlgorithm,12,11.21195090820857,3.2814040184020996,12357
Heuristic,13,6.884289164555026,0.11240410804748535,12358
SA,13,26.700412460856306,0.18402099609375,12358
GeneticAlgorithm,13,11.237382731481716,3.1147890090942383,12358
Heuristic,14,6.122950911821505,0.06605887413024902,12359
SA,14,25.636611665215682,0.15957307815551758,12359
GeneticAlgorithm,14,12.233949891790912,3.118189573287964,12359
Heuristic,15,6.910793440184011,0.10339975357055664,12360
SA,15,22.23776758194812,0.12603235244750977,12360
GeneticAlgorithm,15,9.567035248442602,3.189758777618408,12360
Heuristic,16,6.274483880793191,0.1067051887512207,12361
SA,16,28.09991028136692,0.16518497467041016,12361
GeneticAlgorithm,16,10.892914074790578,3.2268102169036865,12361
Heuristic,17,6.701080190524046,0.07733607292175293,12362
SA,17,25.914928016328712,0.17910051345825195,12362
GeneticAlgorithm,17,11.891383626320673,3.2419722080230713,12362
Heuristic,18,6.657263169419671,0.09994626045227051,12363
SA,18,26.0896246190357,0.13876104354858398,12363
GeneticAlgorithm,18,11.291243084556028,3.122134208679199,12363
Heuristic,19,6.208647835790665,0.11495184898376465,12364
SA,19,26.277689936568656,0.13573622703552246,12364
GeneticAlgorithm,19,11.020939749671903,3.131098985671997,12364
Heuristic,20,6.831788896926301,0.0648355484008789,12365
SA,20,25.175862267314447,0.12886571884155273,12365
GeneticAlgorithm,20,11.865177453288842,3.091538429260254,12365
Heuristic,21,5.85422692041032,0.21098589897155762,12366
SA,21,24.134482630927316,0.16292572021484375,12366
GeneticAlgorithm,21,11.607037715426243,2.93518328666687,12366
Heuristic,22,6.181168853029027,0.11762309074401855,12367
SA,22,22.916185712369554,0.18938183784484863,12367
GeneticAlgorithm,22,11.08866579301365,3.1312360763549805,12367
Heuristic,23,7.009351921487618,0.1001284122467041,12368
SA,23,27.26013958608254,0.16374421119689941,12368
GeneticAlgorithm,23,10.98939172166409,3.0731234550476074,12368
Heuristic,24,6.840055444719776,0.194244384765625,12369
SA,24,24.99006833133107,0.19463539123535156,12369
GeneticAlgorithm,24,11.09695882545817,3.361423969268799,12369
Heuristic,25,6.49818775752754,0.06869268417358398,12370
SA,25,25.319489932866624,0.16449189186096191,12370
GeneticAlgorithm,25,11.40114757853127,3.158586025238037,12370
Heuristic,26,6.760328940461121,0.10521221160888672,12371
SA,26,23.62485799391759,0.12981581687927246,12371
GeneticAlgorithm,26,12.277123658778425,3.2600438594818115,12371
Heuristic,27,6.27494269688812,0.13912272453308105,12372
SA,27,24.356066540511843,0.17673134803771973,12372
GeneticAlgorithm,27,10.293715287463174,3.5145554542541504,12372
Heuristic,28,6.509670759185278,0.14075016975402832,12373
SA,28,26.068266583894005,0.20473933219909668,12373
GeneticAlgorithm,28,12.310418063783386,3.33620285987854,12373
Heuristic,29,8.031727391137437,0.11234021186828613,12374
SA,29,26.90718877074415,0.1362624168395996,12374
GeneticAlgorithm,29,11.550322973350413,3.2783420085906982,12374
